subject_ID,p_duration,p_country,p_languages,p_age,p_gender,p_race,p_parent,p_inj_experienced,condition,rating,injury,character,race,age,gender,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,7,broken arm,sydney,w,c,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,stomach ache,david,w,a,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,1,paper cut,kyle,w,c,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,5,skinned knees,marissa,b,a,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,bruised leg,jessica,b,c,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,splinter,chris,b,a,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,bee sting,tyler,b,c,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,soup,dominic,b,c,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,4,broken arm,jacob,b,a,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,stomach ache,kendall,b,c,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,1,paper cut,sarah,b,a,f,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,5,skinned knees,wyatt,w,c,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,2,bruised leg,robert,w,a,m,,,,,,,,,
6a,381,Portugal,Portuguese,22,male,white,no,"stomach ache,skinned knees,paper cut,burned tongue,splinter,bruised leg",1,3,splinter,tara,w,c,f,,,,,,,,,
